LOC CHR START STOP nSNP
359 14 148215280 153805868 73
360 15 24940 1946339 28
361 15 1946339 7864206 111
362 15 7864206 11858867 61
363 15 11858867 17884558 92
364 15 17884558 20334554 43
365 15 20334554 22143979 36
366 15 22143979 24427577 30
367 15 24427577 31331828 99
368 15 31331828 37205130 110
369 15 37205130 46072177 108
370 15 46072177 48652436 28
371 15 48652436 51723118 56
372 15 51723118 57673393 86
373 15 57673393 60359605 49
374 15 60359605 65242228 74
375 15 65242228 71104283 62
376 15 71104283 83939927 152
377 15 83939927 88690376 85
378 15 88690376 93872856 70
379 15 93872856 102054573 133
380 15 102054573 105515655 44
381 15 105515655 115198264 103
382 15 115198264 121206812 68
383 15 121206812 127563377 89
384 15 127563377 135664063 127
385 15 135664063 137108151 36
386 15 137108151 140007776 51
387 15 140007776 144098687 75
388 15 144098687 149855390 95
389 15 149855390 157616814 111
390 16 329164 3268648 52
391 16 3268648 8979229 99
392 16 8979229 11184870 46
393 16 11184870 18529171 111
394 16 18529171 21235965 42
395 16 21235965 32353233 181
396 16 32353233 34291305 47
397 16 34291305 38876699 82
398 16 38876699 40857276 30
399 16 40857276 48203983 106
400 16 48203983 55529314 95
401 16 55529314 59737854 52
402 16 59737854 63470929 64
403 16 63470929 65420085 31
404 16 65420085 66819965 25
405 16 66819965 72717040 75
406 16 72717040 75340523 40
407 16 75340523 77987586 39
408 16 77987586 79726220 32
409 16 79726220 83874159 77
410 16 83874159 86670723 39
411 17 353076 1112590 14
412 17 1112590 6392736 89
413 17 6392736 8210946 25
414 17 8210946 9345610 23
415 17 9345610 13983032 60
416 17 13983032 22266077 93
417 17 22266077 24402602 26
418 17 24402602 29365448 79
419 17 29365448 34256714 85
420 17 34256714 37645892 55
421 17 37645892 50269952 189
422 17 50269952 53506764 43
423 17 53506764 56528837 39
424 17 56528837 59075556 45
425 17 59075556 64529938 81
426 17 64529938 67014254 48
427 17 67014254 69326366 41
428 18 6078 817298 5
429 18 817298 4101623 49
430 18 4101623 7618399 47
431 18 7618399 11121298 45
432 18 11121298 13924028 53
433 18 13924028 17244538 51
434 18 17244538 21272646 49
435 18 21272646 30475615 141
436 18 30475615 32547444 39
437 18 32547444 36871594 66
438 18 36871594 46758597 149
439 18 46758597 48426310 27
440 18 48426310 51425955 44
441 18 51425955 57825545 84
442 18 57825545 61207390 47
